delta Time, Unix Time, pr1, pr2, pr3, pr4, pr5
4.46048784256,1577147226.18,437,900,633,700,276
4.48491191864,1577147226.2,437,900,633,700,274
4.50555801392,1577147226.22,437,899,633,699,275
4.52985692024,1577147226.25,438,900,633,700,277
4.55450892448,1577147226.27,438,899,633,699,277
4.57482099533,1577147226.29,437,900,634,699,276
4.59957385063,1577147226.32,440,901,633,698,277
4.62015199661,1577147226.34,438,901,633,698,277
4.6444978714,1577147226.36,439,899,632,698,277
4.66891694069,1577147226.39,439,901,632,697,278
4.68992090225,1577147226.41,438,901,632,696,277
4.71416187286,1577147226.43,440,901,634,698,280
4.73457288742,1577147226.45,440,901,632,698,279
4.75934886932,1577147226.48,438,902,632,695,277
4.77991104126,1577147226.5,439,902,632,696,277
4.80449986458,1577147226.52,441,902,631,697,280
4.82868790627,1577147226.55,439,902,631,696,280
4.84950590134,1577147226.57,437,903,633,695,278
4.87394690514,1577147226.59,438,902,630,696,278
4.89443087578,1577147226.61,440,901,632,695,281
4.91906285286,1577147226.64,440,903,632,695,279
4.94364285469,1577147226.66,438,902,631,694,279
4.96424889565,1577147226.68,440,903,633,695,282
4.98847985268,1577147226.71,439,903,632,696,281
5.00933599472,1577147226.73,438,903,632,695,280
0.000832796096802,1577147227.72,439,902,632,695,280
0.00185394287109,1577147227.72,438,904,632,693,280
0.00260376930237,1577147227.72,438,903,633,696,281
0.00313687324524,1577147227.72,439,902,632,695,280
0.00364398956299,1577147227.72,437,903,630,694,279
0.00415587425232,1577147227.72,439,902,633,693,281
0.00469899177551,1577147227.72,441,902,632,695,281
0.00522780418396,1577147227.72,439,903,632,695,281
0.00551986694336,1577147227.72,439,903,634,693,281
0.00568699836731,1577147227.72,440,902,632,694,281
0.00585198402405,1577147227.72,440,902,632,695,284
0.00601577758789,1577147227.72,441,902,633,694,284
0.00617980957031,1577147227.72,440,903,633,693,283
0.00634384155273,1577147227.72,443,902,632,696,286
0.00650882720947,1577147227.72,442,903,633,695,288
0.00667381286621,1577147227.72,441,902,632,694,286
0.00683999061584,1577147227.72,443,901,633,694,288
0.00700497627258,1577147227.72,445,902,633,694,290
0.00717091560364,1577147227.72,445,903,634,695,292
0.0073459148407,1577147227.72,444,902,634,695,292
0.00750398635864,1577147227.72,445,902,633,694,291
0.00766086578369,1577147227.72,446,902,634,694,293
0.00781893730164,1577147227.72,447,902,634,695,293
0.0079779624939,1577147227.72,446,902,633,695,293
0.00813388824463,1577147227.72,444,902,634,693,294
0.00829291343689,1577147227.72,447,900,634,694,294
0.00845098495483,1577147227.73,448,902,633,696,295
0.0086088180542,1577147227.73,447,903,634,694,295
0.00876593589783,1577147227.73,446,901,635,693,294
0.00892376899719,1577147227.73,448,901,634,695,296
0.00908088684082,1577147227.73,449,902,633,695,297
0.00923895835876,1577147227.73,446,902,634,693,294
0.00940680503845,1577147227.73,448,901,634,695,295
0.0095648765564,1577147227.73,449,902,633,695,297
0.00972294807434,1577147227.73,448,904,634,696,298
